year,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMin,Temperature,T Max,T Min,Td dew point,WS,WD,WSGust,WDGust,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax60,Precp1DayMax,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,Cloud Amount
2010,7,1007.3,1008,1012,1000.7,30.3,38.6,25,23.9,1.8,150,17,270,89.1,30.3,12,7,19,22,69,155.5,176.4,446.29,8,11,6.8
2011,1,1022.2,1023,1029.6,1013.7,13.7,20.9,7.9,10.7,3,90,15.2,80,71.9,227.2,25,1.5,4,22,83,30.4,17.1,103.71,2,5,9.4
2011,2,1017,1017.8,1025.8,1006.1,16.9,28,10.2,12.8,2.3,90,14.7,80,68,122.7,14,3,6,35.3,78,51.6,87.8,209.8,3,6,7.8
2011,3,1019.9,1020.7,1026.9,1008,16.2,30.7,10.4,11.4,3.3,80,17.3,80,119.1,117.8,12,2,8.5,45,74,73.9,55,203.7,3,7,9.1
2011,4,1013.8,1014.6,1022.4,1003.6,21.7,34.4,13.7,15.2,2.5,80,16.9,70,27.4,53.4,7,2.5,7,13.2,68,100.1,153.1,405.74,5,9,6.5
2011,5,1008.9,1009.7,1015.4,1000.9,24.8,36.1,17.9,20.6,2.3,80,16.2,90,222,159.3,18,10.5,23.5,54,78,82,94.2,330.06,6,10,8.1
2011,6,1005.4,1006.1,1011.1,991.3,29,36.2,23.8,23.7,1.7,170,18.3,270,284.6,65.8,13,13.5,40,106.4,74,120.3,145.7,421.69,7,10,7.6
2011,7,1004.3,1005,1011,996.3,29.7,37.7,24.5,24.1,1.6,170,17.5,90,264.2,40.1,14,14.5,41.5,76,73,142.5,181.7,470.47,7,10,6.3
2012,1,1019.3,1020.1,1029.5,1007.8,15.9,25.7,9.3,13.4,2.7,90,15.5,80,157.4,186.6,16,3,7.5,36,86,30.7,23,105.53,2,5,9.3
2012,2,1017.5,1018.3,1026.3,1006.3,16.4,28.4,9.5,13.9,2.7,90,15.3,80,268.8,190.7,15,6.5,18,62.7,86,43.4,43.7,139.27,3,6,8.7
